"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"225NIAWU","journalArticle","1962","Persy, Alexandrine","Eine neue urnenfelderzeitliche Beinschiene aus Niederösterreich","Archaeologia Austriaca","","","","","","1962","2017-01-19 09:35:31","2017-01-19 09:35:31","","37-48","","","31","","","Eine neue urnenfelderzeitliche Beinschiene aus Niederösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22HRP4PA","journalArticle","1986","Pollak, Marianne","Flußfunde aus der Donau bei Grein und den oberösterreichischen Zuflüssen der Donau","Archaeologia Austriaca","","","","","","1986","2017-01-19 09:35:31","2017-01-19 09:35:31","","1-136","","","70","","","Flußfunde aus der Donau bei Grein und den oberösterreichischen Zuflüssen der Donau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2392ZK69","journalArticle","1883","Heger, Franz","Das Urnenfeld bei Libohwan in Böhmen","Mitteilungen der Anthropologischen Gesellschaft in Wien","","","","","","1883","2017-01-19 09:35:29","2017-01-19 09:35:29","","180-210","","N.F. 13","13","","","Das Urnenfeld bei Libohwan in Böhmen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248XCIDJ","book","1990","","Beiträge zur Geschichte und Kultur der mitteleuropäischen Bronzezeit","","","","","","","1990","2017-01-19 10:40:55","2017-01-19 10:40:55","","","","","","","","Beiträge zur Geschichte und Kultur der mitteleuropäischen Bronzezeit","","","","","","Berlin-Nitra","","","","","","","","","","","","Bronze Age Hungary","","Furmánek, V.; Horst, F.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"254PPCJ7","book","1988","Kőszegi, F.","A Dunántúl története a későbronzkorban (The history of Transdanubia during the late bronze age)","","","","","","","1988","2017-01-19 10:40:55","2017-01-19 10:40:55","","","","","","","","A Dunántúl története a későbronzkorban (The history of Transdanubia during the late bronze age)","BTM Műhely 1","","","","","Budapest","","","","","","","","","","","","Bronze Age Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25D3S4ZX","journalArticle","1970","Benkovsky-Pivovarová, Zoja","Ein urnenfelderzeitliches Grab aus Eisenstadt","Burgenländische Heimatblätter","","","","","","1970","2017-01-19 09:35:28","2017-01-19 09:35:28","","56ff","","","32","","","Ein urnenfelderzeitliches Grab aus Eisenstadt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25R7ZSQA","bookSection","1986","Dobiat, Claus","Die bisherigen Ergebnisse der Ausgrabungen in der Siedlung auf dem Burgstall bei Kleinklein","Hallstatt Kolloquium Veszprem","","","","","","1986","2017-01-19 09:35:28","2017-01-19 09:35:28","","31-37","","","","","","Die bisherigen Ergebnisse der Ausgrabungen in der Siedlung auf dem Burgstall bei Kleinklein","Mitteilungen des Archäologischen Institutes der Ungarischen Akademie der Wissenschaften. Beiheft","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"269IPN7K","journalArticle","1964","Kalicz, N.","Gelej","Archaeologiai Értesítő","","","","","","1964","2017-01-19 10:40:55","2017-01-19 10:40:55","","253","","","91","","","Gelej","","","","","","","","","","","","","","","","","","Bronze Age Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ABUKA5W","bookSection","1992","Csányi, M.; Stanczik, I.","Tiszaug-Kéménytető","Bronzezeit in Ungarn. Forschungen in Tell-Siedlungen an Donau und Theiss","","","","","","1992","2017-01-19 10:40:56","2017-01-19 10:40:56","","115-119","","","","","","Tiszaug-Kéménytető","","","","","Pytheas","Frankfurt","","","","","","","","","","","","Bronze Age Hungary","","Meier-Arendt, W.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AGGR3ZV","book","1996","Höglinger, Peter","Der spätbronzezeitliche Depotfund von Sipbachzell/OÖ","","","","","","","1996","2017-01-19 09:35:29","2017-01-19 09:35:29","","","","","","","","Der spätbronzezeitliche Depotfund von Sipbachzell/OÖ","Linzer archäologische Forschungen, Sonderheft","16","","","Stadtmuseum Linz - Nordico","Linz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
